objid,type
1237657775538569368,STAR
1237671122684215498,STAR
1237657879150133283,STAR
1237667429012472510,STAR
1237661417674833962,STAR
1237657630043341552,STAR
1237658492811542649,STAR
1237662244985373139,STAR
1237661211508146213,STAR
1237680474438370402,STAR
1237669761713176719,STAR
1237650796749848698,STAR
1237673756041806152,STAR
1237679254666805662,STAR
1237666432576389170,STAR
1237674651531673692,STAR
1237668503292084416,STAR
1237651273490694671,STAR
1237660558134542458,STAR
1237662340010344712,STAR
1237662504838038016,STAR
1237661382236307716,STAR
1237656242237472817,STAR
1237649921111818518,STAR
1237649962458939564,STAR
1237668623013380106,STAR
1237661463300276789,STAR
1237678918055887104,STAR
1237651495753154775,STAR
1237649918963875997,STAR
1237661065477358119,STAR
1237657606424690900,STAR
1237666408439545952,STAR
1237665428644299463,STAR
1237678892813647925,STAR
1237658613594718784,STAR
1237648721741808346,STAR
1237672842282336400,STAR
1237663531875893458,STAR
1237655130376962373,STAR
1237667206748111023,STAR
1237656567582949711,STAR
1237655504034857495,STAR
1237680071244579095,STAR
1237678854695683608,STAR
1237659148847939786,STAR
1237673756575007331,STAR
1237665582720811239,STAR
1237666276346233389,STAR
1237680070171099232,STAR
1237680305857168415,STAR
1237655463782581091,STAR
1237654671349121658,STAR
1237665532256059402,STAR
1237664285095756835,STAR
1237656495638119019,STAR
1237663463145406622,STAR
1237665097918316879,STAR
1237663542063925880,STAR
1237678890132439162,STAR
1237658422475227605,STAR
1237664131010461707,STAR
1237661872951853105,STAR
1237667782313902160,STAR
1237680474975044924,STAR
1237663783664550236,STAR
1237663478723379409,STAR
1237651715870425371,STAR
1237666407916634152,STAR
1237665428626669658,STAR
1237671257982828591,STAR
1237651226782335253,STAR
1237653613183173200,STAR
1237678893885751555,STAR
1237678602909516999,STAR
1237670957324763167,STAR
1237666226417565732,STAR
1237666213543936091,STAR
1237661852006547679,STAR
1237663531875893439,STAR
1237679010928394274,STAR
1237664835387982759,STAR
1237662637975142491,STAR
1237661433770606741,STAR
1237668496311320941,STAR
1237668297131360364,STAR
1237667915950719111,STAR
1237661465985024754,STAR
1237651272422064306,STAR
1237656539662319780,STAR
1237668736832111494,STAR
1237662341091951486,STAR
1237661357537427562,STAR
1237666245206934431,STAR
1237667783370801708,STAR
1237669701047287981,STAR
1237662264329634136,STAR
1237651273512124815,STAR
1237655498667196432,STAR
1237660561893884318,STAR
1237665017383813640,STAR
1237680301568426370,STAR
1237680503430775079,STAR
1237665129081536661,STAR
1237665582719107753,STAR
1237665129096085809,STAR
1237669518509736085,STAR
1237662499468148932,STAR
1237680121173836427,STAR
1237657190904889463,STAR
1237660343391748301,STAR
1237651274036281551,STAR
1237680528668033669,STAR
1237667112798650454,STAR
1237668681538535499,STAR
1237664815525396571,STAR
1237657634338899048,STAR
1237665532797780526,STAR
1237660636539519045,STAR
1237654628399972693,STAR
1237665536542507172,STAR
1237679322846920726,STAR
1237668706762162469,STAR
1237666300017311877,STAR
1237658493342384204,STAR
1237666276349378704,STAR
1237655109453283379,STAR
1237674283784864903,STAR
1237656971302142076,STAR
1237651250953978013,STAR
1237663278460895429,STAR
1237668679380305275,STAR
1237669699451028022,STAR
1237666244147676262,STAR
1237666433650262854,STAR
1237648721776738313,STAR
1237664836464410628,STAR
1237671128047943780,STAR
1237660635444477960,STAR
1237654392172905174,STAR
1237665531715387436,STAR
1237656568110778059,STAR
1237664105779757097,STAR
1237667915414700227,STAR
1237678619568177240,STAR
1237656494024163811,STAR
1237657594070697604,STAR
1237663784215250018,STAR
1237658493879975951,STAR
1237657630588731742,STAR
1237661382234931265,STAR
1237659146706485930,STAR
1237663233370489250,STAR
1237661850948862556,STAR
1237678855235437041,STAR
1237662224627728548,STAR
1237673808111207652,STAR
1237668590799880230,STAR
1237666430965645827,STAR
1237678905713820207,STAR
1237661384384381240,STAR
1237666408442495080,STAR
1237680331635163744,STAR
1237661066554769776,STAR
1237663542609445196,STAR
1237680530276286959,STAR
1237655469671515169,STAR
1237678437015945276,STAR
1237661383314179161,STAR
1237666185106620874,STAR
1237663784740126749,STAR
1237658917459984545,STAR
1237657627914469978,STAR
1237666213540921686,STAR
1237652616205238383,STAR
1237664091823865926,STAR
1237662263787848007,STAR
1237661417673523760,STAR
1237659119864578436,STAR
1237668270824227417,STAR
1237663783666385043,STAR
1237679460822418080,STAR
1237664093430350379,STAR
1237651755073601682,STAR
1237664668957409899,STAR
1237665442599338033,STAR
1237663918413513360,STAR
1237655464302739547,STAR
1237660764302344432,STAR
1237667735043309662,STAR
1237668299281793130,STAR
1237655370895327390,STAR
1237662268617458525,STAR
1237658203989279061,STAR
1237679476944863274,STAR
1237666302167154698,STAR
1237663278460830107,STAR
1237662226239391046,STAR
1237657071157969032,STAR
1237652935643693447,STAR
1237673709324404009,STAR
1237680090578027356,STAR
1237662225161060480,STAR
1237662238548558235,STAR
1237657220410507274,STAR
1237661464384373333,STAR
1237662301903781942,STAR
1237678617432817883,STAR
1237653652377108692,STAR
1237662262176973237,STAR
1237665428642988092,STAR
1237657873253990503,STAR
1237672025699190016,STAR
1237666434191524228,STAR
1237657590315090037,STAR
1237667211582177691,STAR
1237648720699326892,STAR
1237655504036167979,STAR
1237658203440414822,STAR
1237666300016525320,STAR
1237679323933835547,STAR
1237663463145603462,STAR
1237651250949390369,STAR
1237679461903564923,STAR
1237658205029270310,STAR
1237673474711683378,STAR
1237667916496240946,STAR
1237678877784081007,STAR
1237661086423777381,STAR
1237651537628954929,STAR
1237666406848266451,STAR
1237668353503461444,STAR
1237664668971827947,STAR
1237661070319288419,STAR
1237678581440643453,STAR
1237661950280073572,STAR
1237654654177116770,STAR
1237663783144652818,STAR
1237663788488065411,STAR
1237663272018575382,STAR
1237652948532330581,STAR
1237657587096944741,STAR
1237661871873982618,STAR
1237678880492617731,STAR
1237673709329515385,STAR
1237678855233733054,STAR
1237658298990068097,STAR
1237671072223527090,STAR
1237661873484398744,STAR
1237654875360854260,STAR
1237654604256248364,STAR
1237658802581012624,STAR
1237653440302022736,STAR
1237651537636688010,STAR
1237664820356514760,STAR
1237667109571920027,STAR
1237663782593430266,STAR
1237680503972954300,STAR
1237679323394212360,STAR
1237662303522390823,STAR
1237658206125293672,STAR
1237653587948208235,STAR
1237657071158952587,STAR
1237657773935689847,STAR
1237664130484273454,STAR
1237664286707548571,STAR
1237658203440939095,STAR
1237655124472496188,STAR
1237662224615538738,STAR
1237671690154672329,STAR
1237662224088694904,STAR
1237662226241619195,STAR
1237666091130355872,STAR
1237664291001204976,STAR
1237666226416386736,STAR
1237653612112969850,STAR
1237657857146880025,STAR
1237678602914562094,STAR
1237674462019256832,STAR
1237678876171306154,STAR
1237678920198652042,STAR
1237664338784485396,STAR
1237661387065918024,STAR
1237666301090529304,STAR
1237651273504063531,STAR
1237655129841926598,STAR
1237665427576193379,STAR
1237671566135656729,STAR
1237657628431286384,STAR
1237680499135021553,STAR
1237655108374495339,STAR
1237673326005518749,STAR
1237660636525036373,STAR
1237648721209590363,STAR
1237655373578109522,STAR
1237659327096750105,STAR
1237673706649224050,STAR
1237670965391392871,STAR
1237664670055268423,STAR
1237662667500684361,STAR
1237654668666405729,STAR
1237662263239049306,STAR
1237671764785496489,STAR
1237665126933528615,STAR
1237671072759874073,STAR
1237661065486532655,STAR
1237655464316830151,STAR
1237655108376789254,STAR
1237669766010831024,STAR
1237665356155519184,STAR
1237665228386926965,STAR
1237663783130431561,STAR
1237663789023101480,STAR
1237678617407062269,STAR
1237678578757861472,STAR
1237661388150276129,STAR
1237680529737252896,STAR
1237679478539485335,STAR
1237678889056207506,STAR
1237651754555670717,STAR
1237658203434254493,STAR
1237667254010445967,STAR
1237669762794979725,STAR
1237651822719401997,STAR
1237667430084838109,STAR
1237666275816637015,STAR
1237655128766218837,STAR
1237654392174149795,STAR
1237671124296597685,STAR
1237653613719126159,STAR
1237663233371800726,STAR
1237658203417739423,STAR
1237663783677002967,STAR
1237665329314070585,STAR
1237651274025926912,STAR
1237650372091838748,STAR
1237663917337806148,STAR
1237678889065906178,STAR
1237658203979513904,STAR
1237661959371620621,STAR
1237652900750360627,STAR
1237649921117847654,STAR
1237665101685850403,STAR
1237657118938563620,STAR
1237651251481740106,STAR
1237659326033625672,STAR
1237655473432822662,STAR
1237650795136680771,STAR
1237680276873675238,STAR
1237656567048175705,STAR
1237670458578108435,STAR
1237663456705577129,STAR
1237657630578966637,STAR
1237662198826402459,STAR
1237679034551239106,STAR
1237661386526294321,STAR
1237663915727585819,STAR
1237679584303120970,STAR
1237651540317896870,STAR
1237670016737280245,STAR
1237680327877656849,STAR
1237654952670986487,STAR
1237671124833468654,STAR
1237668273511792701,STAR
1237658917995217313,STAR
1237667253466628171,STAR
1237655502957576456,STAR
1237678437018829537,STAR
1237660583372194057,STAR
1237666339724787793,STAR
1237662501078237242,STAR
1237664871900513155,STAR
1237658200201625863,STAR
1237663549054976305,STAR
1237678600241610794,STAR
1237663235522429335,STAR
1237664669507321992,STAR
1237658611446317361,STAR
1237673328686662171,STAR
1237655468602425702,STAR
1237655472362095325,STAR
1237662264861131059,STAR
1237680073394421903,STAR
1237653664713408766,STAR
1237661151916589360,STAR
1237673310428856385,STAR
1237667109574344851,STAR
1237654627322561139,STAR
1237650803732447619,STAR
1237651533872693287,STAR
1237678778475348256,STAR
1237657069549453322,STAR
1237659163345617306,STAR
1237662263237017758,STAR
1237661817098928143,STAR
1237663531862721330,STAR
1237680301027688629,STAR
1237666214607847469,STAR
1237662225685610742,STAR
1237667431717732467,STAR
1237664294757597195,STAR
1237663531861672493,STAR
1237661086952194235,STAR
1237678881038205579,STAR
1237661416068612297,STAR
1237660583367409700,STAR
1237648722294342330,STAR
1237654029252755648,STAR
1237660413189750959,STAR
1237678807453991790,STAR
1237671561306964530,STAR
1237662264861262864,STAR
1237678662505202138,STAR
1237671768006721649,STAR
1237658303280513136,STAR
1237671129128566985,STAR
1237663458316058810,STAR
1237654381980221882,STAR
1237664672714653706,STAR
1237672816512532604,STAR
1237680507190182565,STAR
1237661417134948611,STAR
1237668584893841494,STAR
1237678920741159276,STAR
1237668757774140758,STAR
1237650804809007163,STAR
1237648720696836185,STAR
1237668679924450121,STAR
1237663783663042867,STAR
1237665536003604553,STAR
1237662337335558369,STAR
1237656494570537600,STAR
1237662263776838099,STAR
1237670961630151110,STAR
1237672796108358219,STAR
1237662264864801256,STAR
1237674371288399896,STAR
1237655502422934392,STAR
1237674604291162281,STAR
1237654392181555248,STAR
1237658916919115864,STAR
1237658199659381083,STAR
1237654604791283821,STAR
1237663788487016948,STAR
1237661064940487337,STAR
1237656536974622868,STAR
1237668293909938262,STAR
1237667227148157319,STAR
1237665229990330659,STAR
1237661086424170540,STAR
1237657873790730388,STAR
1237662526305337436,STAR
1237656906350985233,STAR
1237678879960268807,STAR
1237679036695970019,STAR
1237660558133952546,STAR
1237679476399210678,STAR
1237667782281068691,STAR
1237662224608657865,STAR
1237678663034863822,STAR
1237664853648146696,STAR
1237672765521395961,STAR
1237679322862452775,STAR
1237654604778307969,STAR
1237655108370629264,STAR
1237664852034323111,STAR
1237662637444694171,STAR
1237664337177477435,STAR
1237678809066111560,STAR
1237651753457680402,STAR
1237665127987937921,STAR
1237656906346725574,STAR
1237678920753676554,STAR
1237652943710257221,STAR
1237671688005157180,STAR
1237648721764287420,STAR
1237679502719844807,STAR
1237657628980412441,STAR
1237665180057469383,STAR
1237665533324558466,STAR
1237674649391726814,STAR
1237673327613313165,STAR
1237652601180586084,STAR
1237669517976273068,STAR
1237668298743153258,STAR
1237658199659512225,STAR
1237671559157252586,STAR
1237679338953965855,STAR
1237666245217091743,STAR
1237680478195942207,STAR
1237678920213528886,STAR
1237665097395142664,STAR
1237661357535592919,STAR
1237659161203376898,STAR
1237659324407152759,STAR
1237653651301532158,STAR
1237678918606586387,STAR
1237660559746465986,STAR
1237651274035560638,STAR
1237663542065234355,STAR
1237671261197828939,STAR
1237658917997641794,STAR
1237667293192061088,STAR
1237658201812632596,STAR
1237667782821281930,STAR
1237661150842257431,STAR
1237658303817711754,STAR
1237660241923014735,STAR
1237664871356171026,STAR
1237664292077502468,STAR
1237663530261676225,STAR
1237678620116320417,STAR
1237651735776460904,STAR
1237680332177277055,STAR
1237665441515634775,STAR
1237667209982378055,STAR
1237651736307433817,STAR
1237660635453980679,STAR
1237661361296048255,STAR
1237661871877325729,STAR
1237680498597888207,STAR
1237654604247466134,STAR
1237663785277653791,STAR
1237664289936703534,STAR
1237665097918382405,STAR
1237680247351214390,STAR
1237667783911735369,STAR
1237680310698050713,STAR
1237656568119493077,STAR
1237667429570904166,STAR
1237656242235899945,STAR
1237656240626860218,STAR
1237660761073320096,STAR
1237654654180852137,STAR
1237660765915971663,STAR
1237678879962300566,STAR
1237670359253778486,STAR
1237667227144749202,STAR
1237678542773289818,STAR
1237662224060907583,STAR
1237665549429833868,STAR
1237651535482978561,STAR
1237666301629628659,STAR
1237667211053760561,STAR
1237662226208522273,STAR
1237659329780974253,STAR
1237678439162314940,STAR
1237678879950504522,STAR
1237680528665805202,STAR
1237668624629170232,STAR
1237660635445068768,STAR
1237662962781848670,STAR
1237658302207623210,STAR
1237652599027597602,STAR
1237666091661983841,STAR
1237668353503199915,STAR
1237654383589720066,STAR
1237661211508146236,STAR
1237661086951997791,STAR
1237668495779823759,STAR
1237678578743443836,STAR
1237654599959052392,STAR
1237659161738608964,STAR
1237671769614254353,STAR
1237651736852301002,STAR
1237661872956375199,STAR
1237666090592567973,STAR
1237660958105207273,STAR
1237668272437919794,STAR
1237663916271468585,STAR
1237663784750022921,STAR
1237661416603254825,STAR
1237662637986545967,STAR
1237660553304735884,STAR
1237663275775688985,STAR
1237674650466844845,STAR
1237667782307414435,STAR
1237663783671693392,STAR
1237667253456601539,STAR
1237651736830804116,STAR
1237661388157812809,STAR
1237663273632202978,STAR
1237654652570763339,STAR
1237680272039478000,STAR
1237662238561207084,STAR
1237662238552621405,STAR
1237664674323431462,STAR
1237660765918462038,STAR
1237678618498498871,STAR
1237661388677906646,STAR
1237662237480517739,STAR
1237653470370464100,STAR
1237663457240023422,STAR
1237673451097097182,STAR
1237651191354818733,STAR
1237651274045718540,STAR
1237660615585431740,STAR
1237673706112221670,STAR
1237666407366131911,STAR
1237680333777600573,STAR
1237671932281749670,STAR
1237680315523531362,STAR
1237680302103724097,STAR
1237656537510969375,STAR
1237659327104680470,STAR
1237663918416134694,STAR
1237657220410966076,STAR
1237678617945702746,STAR
1237668758849324547,STAR
1237668731993851692,STAR
1237662301361143921,STAR
1237667255624401047,STAR
1237670016188416172,STAR
1237667541213840012,STAR
1237664668976873643,STAR
1237652935104856087,STAR
1237678622775050341,STAR
1237663543141138946,STAR
1237662239090278501,STAR
1237680509871981564,STAR
1237663269873320042,STAR
1237680269352698692,STAR
1237658802576621807,STAR
1237671267108782208,STAR
1237656906342989907,STAR
1237665127471382779,STAR
1237670457503515026,STAR
1237662530598076687,STAR
1237658800962076794,STAR
1237668681537224736,STAR
1237680070708953259,STAR
1237663784200896688,STAR
1237667143403569230,STAR
1237659326558699643,STAR
1237662701331612668,STAR
1237657874332975292,STAR
1237657769628205208,STAR
1237651252584251721,STAR
1237666300553724107,STAR
1237656569185436227,STAR
1237668733067592643,STAR
1237665532798042337,STAR
1237664668962586701,STAR
1237662266469384277,STAR
1237678877250683239,STAR
1237658192145613321,STAR
1237660670349672614,STAR
1237660411037024384,STAR
1237663229609312710,STAR
1237662195057623065,STAR
1237667735568121889,STAR
1237667211043930145,STAR
1237664854174531965,STAR
1237658492274278505,STAR
1237662305112621065,STAR
1237669762796290296,STAR
1237664837007441991,STAR
1237652947997557450,STAR
1237665373332832922,STAR
1237655107825369968,STAR
1237665098996711435,STAR
1237651534945386632,STAR
1237660635465187811,STAR
1237671563455692879,STAR
1237657608568177737,STAR
1237663479794041320,STAR
1237665530649575610,STAR
1237665024365560233,STAR
1237672027320221801,STAR
1237665582187742269,STAR
1237657593533760479,STAR
1237666464800374845,STAR
1237657873779459041,STAR
1237664092903440927,STAR
1237649954406334466,STAR
1237670014577606662,STAR
1237678578743705954,STAR
1237667322178961486,STAR
1237664296368799846,STAR
1237678617400181199,STAR
1237667207291273517,STAR
1237648721767497743,STAR
1237673474714894806,STAR
1237651192426005365,STAR
1237665126933528582,STAR
1237659131136442812,STAR
1237662223554839161,STAR
1237668272449520027,STAR
1237667915413258347,STAR
1237660635984888397,STAR
1237663234452161013,STAR
1237680305862869412,STAR
1237663238739198482,STAR
1237652900756258919,STAR
1237648721742528997,STAR
1237668584359592013,STAR
1237668271899869273,STAR
1237665532244722176,STAR
1237663542609969395,STAR
1237680306398102267,STAR
1237659330315091994,STAR
1237655373578634022,STAR
1237662223529345303,STAR
1237680192040993334,STAR
1237679167160713316,STAR
1237666301630873756,STAR
1237663230148936308,STAR
1237661417675882958,STAR
1237657774464106787,STAR
1237663784200110220,STAR
1237661386530684939,STAR
1237679459748020757,STAR
1237663789032735366,STAR
1237680479809306905,STAR
1237661433237471504,STAR
1237648721206968963,STAR
1237667485919215810,STAR
1237664093442343158,STAR
1237680505044992881,STAR
1237671257445958710,STAR
1237655176546287624,STAR
1237667912210972874,STAR
1237659149386449263,STAR
1237657401335152979,STAR
1237655348893647174,STAR
1237678661963416480,STAR
1237665101138624633,STAR
1237659153149133544,STAR
1237680333251936760,STAR
1237659325485416879,STAR
1237657857148584236,STAR
1237653651310837911,STAR
1237663233904346765,STAR
1237656539126890577,STAR
1237652598487122303,STAR
1237655374115176985,STAR
1237674648856101048,STAR
1237657873256415541,STAR
1237673741009092663,STAR
1237678906246562143,STAR
1237667781746360476,STAR
1237661416058716392,STAR
1237661874010718316,STAR
1237657584950182040,STAR
1237661356460998755,STAR
1237672766052434316,STAR
1237661850925924396,STAR
1237662301912498429,STAR
1237668706762228525,STAR
1237671266567127303,STAR
1237671763172524080,STAR
1237667781196841582,STAR
1237654670812971179,STAR
1237673808656597034,STAR
1237657118943281592,STAR
1237662225158963526,STAR
1237657878075801815,STAR
1237671261202022538,STAR
1237666432576390163,STAR
1237678881560920178,STAR
1237665566610424137,STAR
1237662303520359274,STAR
1237662300841574915,STAR
1237664668959638155,STAR
1237666407366983784,STAR
1237678906776158439,STAR
1237664291549151492,STAR
1237661434844545750,STAR
1237661081588793895,STAR
1237667912208089365,STAR
1237652600102387922,STAR
1237678860628983838,STAR
1237658493346710300,STAR
1237662664290402318,STAR
1237671260655779882,STAR
1237663546899169347,STAR
1237648722815419201,STAR
1237657630042095953,STAR
1237654385732550895,STAR
1237663531329716982,STAR
1237658312406007912,STAR
1237665536542835520,STAR
1237654651497807877,STAR
1237678618479689800,STAR
1237663231220645934,STAR
1237669696758940479,STAR
1237661388137889823,STAR
1237661873474765246,STAR
1237665536007799439,STAR
1237651272960901800,STAR
1237679009852818072,STAR
1237654880747979234,STAR
1237664668421194404,STAR
1237674371829137706,STAR
1237663307992334564,STAR
1237661417134751894,STAR
1237666214618202166,STAR
1237661212584641629,STAR
1237673309892378853,STAR
1237679169301185067,STAR
1237661381705138230,STAR
1237657071159672948,STAR
1237658802581995646,STAR
1237668704615072318,STAR
1237652944232710408,STAR
1237666463190745249,STAR
1237667733959999588,STAR
1237657628981854964,STAR
1237667911143653817,STAR
1237680504508646317,STAR
1237661069789691990,STAR
1237663479256776857,STAR
1237662503753744488,STAR
1237660671431606493,STAR
1237678860082479202,STAR
1237663271483343115,STAR
1237662301901357146,STAR
1237662301371564098,STAR
1237668355114533148,STAR
1237651250946048477,STAR
1237663917338001523,STAR
1237679542964912854,STAR
1237678433254834377,STAR
1237667292118646904,STAR
1237671765323546678,STAR
1237674599462273205,STAR
1237680316599632648,STAR
1237667781767004495,STAR
1237661966359462073,STAR
1237660634915209741,STAR
1237671261197763498,STAR
1237651539782533257,STAR
1237673741007716813,STAR
1237666276351345095,STAR
1237665129081864287,STAR
1237679542965305442,STAR
1237664670049697884,STAR
1237668298751803688,STAR
1237664835933765695,STAR
1237658297913901655,STAR
1237655494369083858,STAR
1237661872945103160,STAR
1237663783658782849,STAR
1237663529722708349,STAR
1237651252024574078,STAR
1237659329774944339,STAR
1237678622776688991,STAR
1237662306201698491,STAR
1237651495760822914,STAR
1237668706766752493,STAR
1237678600242135489,STAR
1237663457241662322,STAR
1237680245207138368,STAR
1237658206124572787,STAR
1237674462553899828,STAR
1237655472897524143,STAR
1237654654176199417,STAR
1237657609109569982,STAR
1237651538167791633,STAR
1237662300842492791,STAR
1237666274215133474,STAR
1237661852006088994,STAR
1237662264857985052,STAR
1237651272977088563,STAR
1237661872414196093,STAR
1237667430639534235,STAR
1237658425168953471,STAR
1237653614258552993,STAR
1237655465926001199,STAR
