domain_id,labels
3pm9A03,"12,14,0,17,3,16,0,4,17,5,9,13,15,12,2,2,0,9,8,9,9,5,7,0,13,5,3,0,0,5,11,9,16,15,4,3,9,7,0,3,16,12,9,2,4,15,17,14,6,0,11,11,14,2,12,9,3,0,14,19,12,18,19,17,9,7,3,9,15,15,12,14,2,2,0,14,0,0,9,3,15,7,9,3,14,5,4,3,2,5,7,17,17,2,0,0,7,0,11,15,17,13,13,13,13,0,4,18,8,9,14,3,3,7,15,12,0,13,8,12,3"
1z19A01,"16,9,6,15,18,9,2,14,19,3,8,7,9,0,15,14,5,7,8,13,8,16,9,7,11,19,10,15,8,7,8,0,7,14,14,5,9,12,2,0,12,9,3,2,7,16,16,8,3,7,0,0,10,9,11,5,19,7,2,3,5,8,0,0,15,0,8,9,7,14,15,16,9,15,2,0,4,14,3,0,7,0,3,5,6,7,16,16,11,6,17,0,0,16,14,0,0,8,15,8"
4jzjC03,"9,16,12,12,11,10,16,0,8,1,11,8,16,6,15,4,10,6,18,8,10,14,15,6,4,11,14,8,4,14,19,3,9,13,7,13,8,14,10,13,12,17,7,16,3,13,17,14,2,14,16,15,4,13,9,9,11,12,5,16,19,16,17,13,7,14,0,14,3,14"
7d8gA01,"3,11,7,8,7,13,15,19,8,6,2,5,8,7,6,14,17,18,15,3,16,16,7,9,8,5,16,2,6,17,17,7,5,5,11,2,6,16,9,17,16,3,15,2,5,14,16,18,7,16,14,3,12,0,7,17,19,4,6,15,3,19,18,4,11,17,7,1,10,4,14,3,2,5,7,19,19,19,1,11,9,15,15,12,4,17,1,2,3,3,0,9,8,19,7,2,19,2,9,2,7,8,17,19,12,11,5,8,19,6,9,9,2,3,2,3,19,3,13,6,10,11,13,10,11,19,12,6,2,7,2,7,7,9,14,14,11,17,2,7,9,13,13,18,7,3,13,8,8,5,12,4,0,12,2,4,7,8,17,18,8,3,14,19,8,8,7"
1h2kA01,"10,0,0,16,0,0,3,0,17,0,15,5,15,5,3,12,14,3,3,0,5,0,9,5,12,0,18,2,3,15,13,9,14,15,19,15,4,12,16,14,12,7,12,14,9,15,13,15,2,12,14,0,3,3,9,7,3,11,3,3,12,17,17,9,16,2,16,11,9,17,19,12,0,9,8,18,2,9,3,19,9,13,3,11,7,5,11,5,2,4,15,17,19,15,0,15,16,6,8,4,9,19,19,2,3,8,8,10,0,11,4,13,11,4,8,12,14,15,11,14,3,3,10,8,4,6,3,4,17,3,8,9,13,2,7,13,13,14,5,5,3,3,14,9,19,9,13,13,16,9,11,2,16,17,5,14,8,7,17,10,2,4,9,5,4,11,18,11,18,7,11,8,13,13,5,8,14,5,18,5,13,9,16,15,11,9,9,9,7,5,10,3,5,11,17,16,12,0,6,19,2,3,13,13,11,4,4,0,13,7,8,5,19,8,14,1,7,9,4,12,12,2,13,4,3,1,9,19,12,19,12,17,6,6,12,1,2,14,13,15,13,17,2,4,2,11,12,2,19,3,14,4,12,11,4,13,11,17,17,5,19,3,16,17,17,5,12,5,2,17,9,19,7,12,10,19,18,18,6,6,7,3,15,9,9,11,5,5,7"
2y27A02,"2,10,10,7,17,14,5,17,11,17,4,12,16,13,7,3,3,13,9,9,8,13,14,0,9,0,12,6,19,13,7,17,9,16,8,3,5,12,9,2,17,9,16,9,11,17,3,12,1,12,3,16,0,12,2,16,0,0,7,13,17,0,8,13,0,9,0,19,2,7,8,15,9,7,5,17,16,0,17,7,11,17,9,12,17,11,5,7,3,14,15,17,5,8,0,14,14,17,17,2,8,14,8"
3u5iW02,"17,0,8,8,14,15,14,8,16,17,8,0,13,14,12,7,16,5,0,15,9,2,9,7,8,3,14,14,15,9,8,12,3,17,14,8,0,11,14,3,3,8,9,8,0,11,8,3,8,8,8,0,3,8,0,0,14,8,0,3,8,0,8,15,0,5,16,13,15"
3dzvA00,"8,16,15,17,8,4,3,16,7,4,12,9,16,16,0,12,9,7,13,1,7,16,11,3,7,16,1,3,15,10,0,11,0,9,9,19,7,2,0,8,12,7,10,0,2,2,12,14,3,4,12,13,10,4,13,13,16,15,0,9,17,9,11,9,5,6,9,15,13,3,14,3,13,15,9,9,0,0,15,2,19,0,14,13,17,11,8,9,16,17,17,2,9,17,5,19,5,0,15,2,7,14,11,3,17,5,3,8,9,17,6,11,13,12,16,17,17,8,5,11,9,15,3,10,14,16,4,1,13,9,17,15,6,5,14,5,17,2,5,15,12,9,2,13,15,3,3,0,7,3,3,9,7,13,0,9,14,13,13,16,13,8,4,12,13,16,17,4,9,0,16,5,7,13,2,17,9,17,15,13,3,13,17,7,17,9,13,11,5,17,12,3,9,2,1,4,16,5,16,5,2,9,17,5,0,9,17,0,0,9,9,5,3,5,11,0,12,10,16,0,0,17,0,0,17,15,19,4,11,9,1,5,3,8,0,8,16,8,15,13,5,9,0,2,4,14,13,11,16,9,11,13,9,15,9,9,10,8,3,8,2,18,4,3"
4bx8A01,"10,0,0,6,9,15,19,5,14,17,11,9,11,17,9,14,3,0,17,14,14,3,9,14,3,4,9,2,8,1,0,5,15,8,0,7,17,18,2,3,19,9,16,5,12,4,5,9,7,0,13,19,15,9,9,8,3,6,3,17,3,8,10,4,16,9,8,5,11,14,9,12,0,0,2,17,8,11,7,7,4,4,17,14,12,14,9,3,9,10,2,7,7,0,3,11,17,9,15,3,2,14,14,5,12,16,14,2,4,6,7,9,4,17,12,14,14,15,9,9,1,3,13,14,9,8,2,9,5,17,9,5,15,4,7,6,14,3,3,19,15,9"
3i4jB02,"0,3,17,5,3,14,10,0,0,13,0,0,14,9,12,4,17,6,5,15,13,4,15,15,2,17,9,3,3,19,0,5,14,9,0,14,4,17,5,9,12,16,4,14,4,18,0,17,15,5,5,15,3,0,16,3,15,0,17,8,9,0,14,13,19,6,17,3,14,5,3,12,5,14,4,8,17,7,16,14,17,12,15,19,6,5,0,15,9,5,15,9,0,0,15,5,10,5,0,14,14,3,9,19,16,12,9,10,14,12,3,0,18,12,8,9,12,8,12,2,12,0,14,11,5,0,3,2,0,3,5,9,14,0,9,9,3,14,3,5,12,3,16,17,0,0,4,10,0,3,12,17,17,5,0,15,2,0,0,9,0,12,0,12,5,19,19,3,14,17,14,2,7,1,2,3,0,5,7,7,4,7,0,2,3,17,10,15,5,10,5,14,1,5,15,12,9,0,9,15,14,18,15,5,17,16,12,2,7,0,17,9,5,8,5,9,0,0,5,19,0,12,9,0,5,9,9,0,0,12,13,17,19,3,16,17,10,5,5,15,5,0,4,10,6,5,4,16,19"
1jfaB00,"10,3,11,4,12,16,3,19,4,9,11,16,16,17,14,9,9,3,19,7,14,19,14,2,15,11,19,16,14,3,3,14,7,3,11,9,6,19,0,19,11,8,0,0,6,6,4,0,13,12,14,13,13,13,9,9,8,17,2,12,8,14,9,13,0,15,9,13,16,7,17,5,10,17,17,19,15,18,0,8,17,15,8,3,1,10,0,2,9,15,7,6,19,16,19,16,9,17,9,2,2,15,8,2,2,12,19,12,16,10,17,11,19,4,2,2,9,13,0,5,14,3,13,0,6,12,18,18,0,9,17,11,3,6,4,12,11,17,9,14,6,4,5,12,4,1,15,9,11,9,7,14,15,16,9,2,4,4,3,5,1,18,7,3,13,19,11,4,5,5,4,12,5,15,6,2,19,12,13,4,9,14,14,10,11,5,9,5,6,1,17,5,0,15,9,18,12,8,3,13,4,11,3,14,15,9,4,9,3,7,16,15,0,7,0,13,10,3,11,18,10,17,18,17,11,2,9,10,15,4,19,8,3,4,2,2,3,14,2,13,7,15,9,17,8,11,19,17,17,15,2,3,7,15,9,6,3,0,9,3,8,9,16,13,2,16,9,6,15,15,8,13,10,17,0,17,4,15,2,8,2,12,13,17,10,2,16,7,3,1,4,10,6,5,19,17,16,18,6,9,1,2,14,14,19,14,9,15,3,7,19,3,8,17,8,3,3,8,16,3,2,0,13,8,4,1,8,4,19,3,13,0,0,11,17,5,0,17,15,12,15,3,18,0,19,12,12,17,0,13"
2aujD03,"3,12,19,9,4,14,0,3,3,15,5,17,17,3,9,8,2,9,0,3,5,6,9,7,19,9,14,13,3,3,3,17,17,0,14,19,4,9,12,0,5,10,16,12,9,17,17,3,5,3,7,17,3,17,5,13,12,9,0,3,5,8"
2gexA00,"10,15,16,16,0,11,8,3,14,1,9,3,10,17,0,0,18,11,14,18,2,17,15,5,17,17,0,6,18,0,12,2,17,17,6,19,2,2,3,2,8,12,17,15,0,3,3,17,17,14,14,10,11,15,0,17,3,0,4,12,2,9,14,9,2,17,14,15,7,17,5,3,5,2,14,17,10,9,14,7,16,1,15,0,16,6,13,5,17,4,10,5,7,0,12,16,5,14,8,17,14,18,16,19,9,3,3,9,14,4,15,3,0,5,8,17,17,3,6,18,2,17,4,11,4,15,12,9,4,14,2,9,5,17,17,12,2,5,9,8,9,0,0,0,9,3"
3dh0B00,"10,15,9,0,6,8,4,2,12,15,8,7,8,8,9,2,2,12,15,14,9,3,9,4,2,12,3,8,17,9,8,3,4,5,9,8,3,5,10,16,17,9,2,17,5,16,5,0,5,4,19,9,12,19,9,15,8,10,17,5,3,8,5,8,17,19,0,7,2,17,13,3,3,10,17,11,19,0,18,3,8,17,11,8,9,5,9,8,11,17,3,17,9,8,15,3,3,11,8,7,12,9,12,2,11,16,17,2,4,7,4,10,0,4,16,4,6,3,9,15,3,12,9,8,4,9,3,3,9,8,14,17,0,8,12,4,0,19,9,0,7,7,2,18,8,8,3,3,14,2,8,5,12,12,12,3,3,17,19,15,3,18,3,17,5,9,7,9,3,2,0,5,7,14,17,5,14,17,17,3,17,5,8,19,1,4,5,17,19,0"
4igdA01,"0,15,10,16,5,11,3,1,12,3,9,13,12,12,17,6,5,8,7,3,12,15,13,0,8,19,4,4,8,2,13,17,9,17,15,1,2,16,5,19,8,17,9,8,2,11,17,3,10,2,16,4,13,7,3,1,9,8,2,5,16,18,15,11,8,7,12"
1im2A02,"9,17,14,13,13,3,7,0,8,11,14,0,14,0,3,2,17,0,3,3,14,9,7,2,2,3,0,0,8,9,7,11,12,3,3,9,8,13,8,0"
3dxqB02,"5,0,13,16,10,15,12,3,8,4,8,16,14,12,5,15,12,0,14,0,5,3,0,4,14,8,9,6,5,15,5,0,17,4,12,4,14,4,3,9,4,0,10,7,2,2,19,9,8,17,9,15,16,8,11,17,16,9,12,0,5,19,6,2,17,17,14,3,0,5,5,17,14,15,0,9,0,0,6,12,9,12,9,0,0,1,6,1,2,12,9,1,3,11,4,9,2,16,5,3,14,10,18,7,17,2,18,3,19,15,5,10,11,2,12,9,18,2,9,5,2,9,15,17,3,5,8,4,11,0,11,13,2,3,3,9,10,14,0,19,4,5,5,3,0,14,12,0,3,14,5,14,17,17,7,19,8,0,10,1,2,9,9,18,16,9,18,5,9,7,13,9,0,11,2,11,12,17,2,2,4,14,0,19,0,2,5,14,4,0,14,1,8,0,9,10,3,16,12,3,4,15,14,6,9,0,0,17,14,10,5"
6nplA01,"18,7,8,5,17,9,17,14,1,10,9,11,7,18,5,17,10,9,4,7,14,10,16,18,7,17,5,13,0,5,7,0,19,15,1,7,7,17,7,10,0,16,17,17,16,16,7,16,5,1,15,16,15,0,7,0,16,11,5,4,17,14,5,5,5,0,19,19,9,7,15,14,15,9,5,12,3,4,5,5,15,7,5,9,7,4,0,4,0,11,0,17,0,17,0,10,19,17,17,5,4,0,3,16,17,17,3,9,9,10,2,15,5,9,9,10,7,2,13,16,11,2,7,14,17,7,5,16,7,16,17,7,9,9,9,5,7,15,17,0,5,10,3,18,3,0,8,0,13,7,4,9,9,17,7,9,7,16,0,7,4,11,19,4,7,5,15,4,7,0,17,2,15,8,8,8,4,5,4,4,15,19,2,0,5,7,9,0,3,11,4,5,12,2,4,14,5,13,16,4,4,15,17,4,15,7,4,4,12,0,0,16,5,7,9,0,5,0,11,7,15,5,2,9,0,2,12,13,10,0,7,12,8,5,16,9,9,0,7,9,7,16,5,9,17,19,17,5,17,0,7,15,0,5,0,1,7,17,14,2,0,16,5,7,3,15,11,4,16,9,7,15,11,1,16,2,0,0,1,8,19,5,19,2,4,15,15,1,14,12,16,17,3,5,3,17,15,15,1,8,4,5,9,6,11,2,4,13,17,10,15,17,17,15,5,4,15,12,9,7,15,0,5,7,4,15,0,16,9,15,15,0,9,0,15,9,17,15,0,12,8,17,4,13,0,9,1,8,2,11,7,19,12,5,7,0,7,4,5,8,5,19,5,8,11,11,3,12,9,14,5,19,4,9,16,4,5,7,0,9,0,4,7,9,7,0,3,9,11,17,7,0,12,7,7,15,11,4,4,9,0,15,19,0,9,7,11,4,15,17,4,6,0,15,9,0,11,15,12,5,18,14,12,15,4,8,19,19,11,10,18,0,15,9,0,5,0,7,9,1,1,17,17,10,4,7,7,11,18,18,0,0,9,9,16,11,17,7,17,9,15,9,19,7,19,17,15"
3fj1A01,"5,10,16,13,6,7,16,14,10,14,14,3,7,2,3,7,12,3,0,17,13,14,9,9,2,6,5,0,13,2,17,0,14,17,0,0,17,9,14,9,14,2,12,15,4,17,0,16,17,0,14,5,15,15,2,6,17,1,16,19,9,15,19,0,0,3,9,9,9,5,9,12,17,0,15,9,5,12,15,17,0,15,17,19,2,0,14,9,14,9,2,14,0,9,1,9,0,17,15,13,15,5,8,15,12,2,7,17,0,10,16,14,11,0,5,14,2,5,0,9,1,17,0,9,16,11,2,0,0,15,12,9,0,5,17,15,0,6,16,7,2,7,6,0,5,12,3,9,15,17,0,0,16,8,16,4,17,16,15,0,17,0,5,9,10,9,9,0,2,18,0,3,2,2,5,9,14,0,0,9,5,11,9,12,3,16,9,0,0,0,15,14,7"
4w91B01,"0,19,2,17,3,0,7,14,14,2,4,12,7,9,15,14,13,17,6,5,8,16,9,17,19,9,2,11,5,14,6,0,7,9,0,6,3,0,2,9,14,2,19,0,6,3,14,9,5,14,7,11,15,9,14,7,4,5,11,0,12,2,8,5,0,7,7,15,4,0,9,3,5,7,6,0,6,2,17,15,10,17,7,2,14,0,5,17,0,17,14,0,5,16,6,1,0,13,12,9,9,8,14,4,5,17,16,15,16,1,14,0,15,4,0,9,19,11,16,14,0,3,17,2,0,9,0,3,0,9,3,8,0,14,8,4,4,5"
4l4qB01,"10,0,5,8,17,14,11,7,17,17,3,3,9,17,14,16,12,12,9,0,11,2,16,15,4,5,17,5,19,0,12,17,5,14,5,11,14,17,11,5,9,7,16,12,11,14,6,10,15,10,3,0,0,0,5,8,11,12,17,15,6,17,5,8,7,19,11,7,9,15,10,9,7,0,11,2,7,0,3,13,17,3,5,17,3,3,17,19,17,14,7,9,15,13,7,5,8,12,7,2,3,12,9,17,0,15,17,13,7,7,12,8,8,5,19,15,7,2,17,9,13,8,12,0,19,3,7,0,2,3,18,9,0,11,7,16,8,7,13,8,10,7,9,3,2"
1ipaA01,"10,14,7,16,15,16,0,11,12,14,7,8,3,9,0,14,9,9,3,14,8,6,14,2,15,13,14,14,4,9,7,3,5,0,14,3,7,3,14,0,9,13,0,5,7,3,9,3,13,0,9,17,18,3,5,5,9,11,12,3,3,13,13,17,19,0,0,9,5,14,17,5,14,9,0,9,9,3,17,15,3,0,17,9,8,8,9,15,17,14,2,11,12,0,5,9,7,0,9"
2vqrA02,"0,2,2,12,0,19,0,0,9,17,14,2,19,0,13,8,0,9,15,18,14,9,8,6,0,2,14,16,9,16,6,19,14,15,5,12,3,5,9,15,3,14,15,6"
1cbiA00,"12,11,4,0,5,16,18,8,10,14,15,15,3,11,4,2,3,9,9,8,0,9,5,17,11,0,10,9,14,8,17,0,17,0,0,0,15,8,12,6,17,3,7,14,13,2,5,2,13,4,19,7,8,16,15,16,16,17,14,16,16,3,7,11,4,8,17,5,3,5,4,3,3,3,16,17,2,5,14,8,1,14,15,9,12,16,18,3,11,3,11,8,7,6,1,16,13,16,9,9,3,5,2,5,12,8,16,19,18,16,14,3,9,0,11,2,3,9,7,9,16,4,5,0,2,2,17,17,1,16,14,7,19,17,14,3"
7wu8B01,"6,0,17,15,0,19,9,0,2,0,14,14,0,9,5,15,0,5,1,15,13,9,9,0,0,9,16,0,19,8,13,2,2,2,9,2,8,17,9,0,17,9,0,0,9,16,16,0,8,12,3,2,4,12,9,9,6,14,4,15,10,4,17,14,12,6,6,8,13,14,4,15,13,16,1,16,2,9,16"
1lkeA00,"2,17,19,6,2,5,0,1,12,3,17,8,12,17,2,11,4,2,18,15,13,19,6,5,8,18,18,13,17,0,0,19,12,2,6,7,16,8,19,5,8,1,5,18,0,3,19,16,12,3,5,8,15,17,8,17,15,14,19,15,17,7,6,5,8,3,19,4,15,3,5,16,0,19,12,17,5,2,15,8,7,5,8,7,19,6,15,19,16,7,5,5,17,16,13,3,5,17,4,11,17,9,15,16,2,11,8,11,19,7,7,5,19,4,1,15,19,2,3,2,8,8,5,6,10,2,9,17,18,17,9,15,14,15,10,17,9,16,5,3,0,8,16,0,17,3,11,19,9,7,5,15,12,17,17,2,15"
3kheA01,"5,8,6,0,9,16,5,0,9,5,11,10,8,8,4,13,15,15,13,8,9,0,13,0,0,10,9,4,10,5,15,8,9,16,16,9,3,3,16,8,3,9,16,13,7,4,14,13,9,2,11,11,5,2,5,13,9,2,14,8,3,9,7,3,5,19,14,8,9,10,13,18,8,5,2,16,17,15,2,9,2,15,15,13,7,3,0,3,17,2,6,7,9,13,15,17,2,4,2,14,11,5,19,7,3,19,15"
2hw5A02,"15,8,7,17,17,0,10,0,8,3,15,17,11,0,0,4,3,10,16,9,16,3,5,15,8,9,3,8,8,9,4,19,15,16,4,0,16,2,2,14,8,3,5,10,16,0,4,17,3,8,14,8,0,11,4,8,2"
3iiiA02,"14,3,17,0,4,6,5,5,7,12,2,16,5,4,19,14,4,18,16,13,5,7,4,0,14,18,16,2,11,12,11,7,3,2,9,7,13,0,13,13,3,6,12,9,4,2,2,4,18,8,13,14"
1bbuA01,"9,11,11,3,9,8,16,14,14,3,8,9,0,11,9,14,3,13,5,7,0,4,12,11,2,4,14,14,2,6,16,15,2,13,9,6,0,3,4,2,5,8,3,11,3,3,9,3,0,9,11,7,3,17,0,17,0,5,14,10,10,16,14,14,7,10,5,8,0,15,4,17,16,9,13,2,17,5,5,14,7,13,9,19,17,0,14,2,2,9,12,3,5,17,19,11,3,13,4,8,8,18,2,9,5,2,7,9,5,0,8,5,8,9,4,8,16,8,16,5,3,9,15,7,6,1,16,3,9,14,9,9,16,8,0,9,14,12,9,12"
3cuqB01,"3,16,2,8,11,7,15,3,0,4,3,2,9,15,8,9,10,7,8,0,8,3,10,17,3,9,15,8,15,7,0,11,8,7,8,2,8,13,5,2,7,16,3,2,3,16,7,14,4,8,15,19,9,9,15"
1jyaB00,"10,19,15,4,3,13,0,7,16,13,9,4,13,13,9,15,9,15,7,12,2,16,7,3,12,17,7,5,17,8,17,5,3,4,0,1,6,7,16,3,6,12,17,5,13,7,9,10,4,16,9,12,15,9,2,11,11,2,3,8,3,16,9,9,15,6,11,7,4,15,13,2,7,9,8,12,7,9,15,18,2,3,17,5,5,6,12,17,9,18,11,14,13,12,9,11,15,9,2,11,11,15,9,19,16,13,9,3,10,9,17,13,5,0,3,14,9,13,16,15,15"
2a73B06,"8,2,13,9,16,1,11,8,4,2,9,8,17,16,7,8,12,0,12,3,16,3,8,14,12,13,2,0,8,11,16,10,7,9,3,7,1,16,14,19,14,5,2,13,2,0,16,10,15,7,9,2,7,15,10,10,16,5,4,0,12,2,16,2,2,9,8,13,9,0,11,5,17,2,14,19,7,15,8,19,3,9,2,8,0,4,15,2,14,11,16,9,7,7,19,9,2,8,17,15,6,15,3,2,2,1,9,0,4,8,17,6,13,19,4,11,17,3,9,7,13,12,5,0,17,8,17,19,0,19,19,11,9,3,3,15,1,16,14,4,19,6,12,3"
1u6mA00,"10,15,9,7,14,15,0,16,8,3,2,5,13,0,7,0,14,9,17,9,17,7,9,8,2,10,3,9,12,7,9,3,3,17,15,3,3,13,10,7,2,9,9,0,3,0,16,0,19,12,16,19,14,19,5,19,13,14,7,9,17,19,3,6,0,5,3,17,0,5,7,0,17,5,19,12,0,3,2,3,8,7,7,2,3,12,9,14,3,17,4,8,8,6,5,9,0,3,2,17,14,9,4,7,3,3,3,16,9,12,11,3,18,19,9,2,16,7,15,17,2,3,14,4,14,5,10,5,7,5,15,8,9,9,2,0,9,12,3,17,0,8,0,15,5,8,13,0,9,5,9,11,17,2,4,2,11,12,5,0,14,8,9,19,0,15,8,5,4,8,2,17,16,16,10,16,7,15,5,6,9,19,11,6,10,13,8,3,17"
4qhpA05,"19,15,2,2,2,9,9,9,9,9,0,6,2,15,2,0,4,16,14,18,3,0,0,13,16,9,19,14,14,0,17,0,0,11,9,0,16,9,15,2,5,17,3,9,12,8,6,3,8,9,9,0,0,17,3,8,17,7,15,2,2,9,9,2,11,0,4,8,0,9,9,9,5,17,12,15,3,0,3,9,18,2,5,0,3,11,7,2,12,9,14,19,6,13,0,14,3,0,9,9,2,16,9,0,17,6,4,9,12,8,18,6,3,9,11,14,13,0,0,8,13,3,11,13,15,19,3,19,15,12,3,0,0,5,18,14,16,9,14,11,17,1,14,0,4,17,9,14,0,2,12,0,6,7,3,16,17,0,3,8,19,5,3,10,0,13,11,10,16,6,3,18,5,7,9,15,0,17,11,5,11,3,15,2,16,14,11,14,9,9,0,13,4,0,2,8,4,15,2,2,0,9,17,10,2,8,19,4,0,9,17,5,15,15,14,14,15,2,16,9,13,13,17,14,16,0,9,13,6,12,8,4,15,9,3,11,12,11,8,0,14,15,9,7,5,15,4,15,14,11,17,12,6,4,6,0,3,2,5,15,5,19,14,4,7,0,2,8,17,7,3,7,2,14,4,11,12,13,17,0,0,14,9,17,13,0,4,11,9,1,11,8,9,3,12,6,14,8,11,9,17,8,13,0,9,13,14,7,14,0,13,3,5,9,15,8,2,17,5,3,7,17,5,8,7,9,2"
2xi9A03,"2,9,4,8,19,16,17,8,12,14,2,16,2,12,2,16,4,9,8,6,7,8,8,17,7,3,8,5,19,14,3,8,5,13,0,7,3,19,15,5,9,16,3,16,13,9,14,0,0,16,13,9,0,7,19,19,4,16,2,15,0,3,9,2,8,2,8,9,8,2,19,6,5,4,5,2,10,11,2,15,16,9,0,17,0,8,7,9,17,3,19,0,13,2,15,11,12,12,13,9,16"
